Common Name	Scientific Name	Synonymes	Domain	SubDomain	SuperKingdom	Kingdom	SubKingdom	InfraKingdom	SuperPhylum (subDivision)	Phylum (division)	SubPhylum (subDivision)	InfraPhylum	SuperClass	Class	SubClass	InfraClass	SubterClass (?)	SuperOrder	Order	SubOrder	InfraOrder	MicroOrder	SuperFamily	Family	SubFamily	Tribe	SubTribe	Genus	GenusSynonyme	SubGenus	Species	SpeciesSynonyme	SubSpecies	Country	CountryAlphaCode2	CountryAlphaCode3	Image	Source
	Aaaba fossicollis	Cisseis fossicollis	Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Endopterygota	Coleoptera	Polyphaga	Elateriformia		Buprestoidea	Buprestidae	Agrilinae			Aaaba			Aaaba fossicollis						1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1580658  https://commons.wikimedia.org/wiki/Category:Aaaaba https://www.uniprot.org/taxonomy/1580658 https://eol.org/pages/3223823/names
	Aaaba nodosus	Aaaba minor; Aaaba minor; Alcinous nodosus	Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Hexapoda			Insecta	Pterygota	Neoptera		Endopterygota	Coleoptera	Polyphaga	Elateriformia		Buprestoidea	Buprestidae	Agrilinae			Aaaba			Aaaba nodosus						1	
	Aaadonta angaurana		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta angaurana						0	https://www.molluscabase.org/aphia.php?p=taxdetails&id=1264838 https://www.gbif.org/fr/species/175821832
	Aaadonta constricta	Aaadonta constricta constricta; Endodonta constricta	Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta constricta						0	http://www.marinespecies.org/traits/aphia.php?p=taxdetails&id=1264832 https://en.wikipedia.org/wiki/Aaadonta_constricta
	Aaadonta constricta babelthuapi		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta constricta		Aaadonta constricta babelthuapi				0	
	Aaadonta constricta komakanensis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta constricta		Aaadonta constricta komakanensis				0	
	Aaadonta fuscozonata		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta fuscozonata						1	https://www.mindat.org/taxon-5783630.html https://www.molluscabase.org/aphia.php?p=taxdetails&id=1264835 https://commons.wikimedia.org/wiki/Category:Aaadonta_fuscozonata
	Aaadonta fuscozonata depressa		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta fuscozonata		Aaadonta fuscozonata depressa				0	
	Aaadonta irregularis		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta irregularis						0	https://www.molluscabase.org/aphia.php?p=taxdetails&id=1264859
	Aaadonta kinlochi		Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Lophotrochozoa	Mollusca				Gastropoda	Heterobranchia	Euthyneura	Tectipleura	Eupulmonata	Stylommatophora	Helicina			Punctoidea	Endodontidae				Aaadonta			Aaadonta kinlochi						0	https://www.mindat.org/taxon-5783635.html
