name,scientic_name,domain ,kingdom ,sub_kingdom ,infra_kingdom ,super_branch,branch,sub_branch ,infra_branch ,division ,super_class ,class ,sub_class ,infra_class ,super_order ,order ,sub_order ,infra_order ,micro_order ,super_family ,family ,sub_family ,tribu,clade,genus ,sub_genus ,species ,sub_species,status,description_status
Aachenosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aardonyx,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Abdallahsaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Abdarainurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Abelisaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Abrictosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Abrosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Abydosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Acantholipan,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Acanthopholis,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Achelousaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Acheroraptor,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Achillesaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Achillobator,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Acristavus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Acrocanthosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Acrotholus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Actiosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Adamantisaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Adasaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Adelolophus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Adeopapposaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Adratiklit,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Adynomosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aegyptosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aeolosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aepisaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aepyornithomimus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aerosteon,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aetonyx,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Afromimus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Afrovenator,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Agathaumas,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aggiosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Agilisaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Agnosphitys,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Agrosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Agujaceratops,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Agustinia,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Ahshislepelta,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Airakoraptor,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Ajancingenia,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Ajkaceratops,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Akainacephalus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Alamosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Alaskacephale,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albalophosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albertaceratops,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albertadromeus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albertavenator,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albertonykus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albertosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albinykus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Albisaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Alcovasaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Alectrosaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Aletopelta,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Algoasaurus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
Alioramus,,Eukaryota,Animalia ,Eumetazoa,Bilateria ,Deuterostomia ,Chordata ,Vertebrata,,,,,,,,,,,,,,,,,,,,,,
