Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Abellaite,Abellaite,NaPb2+2(CO3)2(OH),NaPb2(CO3)2(OH),Na Pb C O H,IMA2014-111,6482,Spain,Approved, ,hexagonal,Na Pb^2+ C O H,1
Abelsonite,Abelsonite,Ni2+C31H32N4,NiC31H32N4,Ni C H N,IMA1975-013,777,USA,Approved, ,triclinic,Ni^2+ C H N,1
Abenakiite-(Ce),Abenakiite-(Ce),Na26Ce3+6(SiO3)6(P5+O4)6(C4+O3)6(S4+O2)O,Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,Na Ce Si O P C S,IMA1991-054,778,Canada,Approved, ,hexagonal,Na Ce^3+ Si O P^5+ C^4+ S^4+,1
Abernathyite,Abernathyite,K(U6+O2)As5+O4·3H2O,K(UO2)(AsO4)·3H2O,K U O As H,,779,USA,Grandfathered|Approved,Natroautunite,tetragonal,K U^6+ O As^5+ H,1
Abhurite,Abhurite,Sn2+21O6(OH)14Cl16,Sn2+21O6(OH)14Cl16,Sn O H Cl,IMA1983-061,780,Saudi Arabia,Approved, ,hexagonal,Sn^2+ O H Cl,1
Abramovite,Abramovite,Pb2+2Sn4+In3+Bi3+S2-7,Pb2SnInBiS7,Pb Sn In Bi S,IMA2006-016,5327,Russia,Approved, ,triclinic,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,1
Abswurmbachite,Abswurmbachite,Cu2+Mn3+6O8(SiO4),Cu2+Mn3+6O8(SiO4),Cu Mn O Si,IMA1990-007,781,Greece,Approved,Braunite,tetragonal,Cu^2+ Mn^3+ O Si,1
Abuite,Abuite,CaAl2(PO4)2F2,CaAl2(PO4)2F2,Ca Al P O F,IMA2014-084,6382,Japan,Approved, ,orthorhombic,Ca Al P O F,1
Acanthite,Acanthite,Ag1+2S2-,Ag2S,Ag S,,782,Czech Republic,Grandfathered|Approved,Acanthite,monoclinic,Ag^1+ S^2-,1
Acetamide,Acetamide,CH3CONH2,CH3CONH2,C H O N,IMA1974-039,783,Ukraine,Approved, ,hexagonal,C H O N,1
Achalaite,Achalaite,Fe2+Ti4+Nb5+2O8,Fe2+TiNb2O8,Fe Ti Nb O,IMA2013-103,6262,Argentina,Approved,Wodginite,monoclinic,Fe^2+ Ti^4+ Nb^5+ O,0
Achávalite,Achavalite,FeSe,FeSe,Fe Se,,5363,Argentina,Approved|Renamed,Nickeline,hexagonal,Fe Se,1
Achyrophanite,Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(As5+O4)5","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5",K Na Fe Ti Al Mg O As,IMA2018-011,6754,Russia,Pending publication|Approved, ,orthorhombic,K Na Fe^3+ Ti Al Mg O As^5+,1
Acmonidesite,Acmonidesite,"(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8",N H K Pb Na Fe S O Cl,IMA2013-068,6229,Italy,Approved, ,orthorhombic,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,1
Actinolite,Actinolite,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,,784,Germany / Austria,Approved|Redefined,Amphibole,monoclinic,Ca Mg Fe^2+ Si O H,1
Acuminite,Acuminite,SrAlF4(OH)·H2O,SrAlF4(OH)·H2O,Sr Al F O H,IMA1986-038,785,Denmark (Greenland),Approved,Tikhonenkovite,monoclinic,Sr Al F O H,1
Adachiite,Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),Ca Fe Al Si O B H,IMA2012-101,6164,Japan,Approved,Tourmaline,hexagonal,Ca Fe^2+ Al Si O B H,1
Adamite,Adamite,Zn2+2As5+O4(OH),Zn2(AsO4)(OH),Zn As O H,,786,Chile,Grandfathered|Approved,Andalusite,orthorhombic,Zn^2+ As^5+ O H,1
